open,high,low,close,volume
100.2789,100.3289,99.7288,99.7253,97530
98.9303,100.4116,97.8396,99.1113,5165
98.1709,98.6082,97.1602,97.224,27062
97.656,99.0586,96.817,97.5544,37463
98.1733,98.1863,96.5617,98.5696,45597
98.1253,98.5559,96.5983,97.3297,50797
96.5231,98.2181,95.3156,97.1374,96647
97.0562,97.3059,95.2116,96.2138,39427
96.8726,98.1096,95.1492,97.0273,93349
96.1664,97.4889,94.6203,97.1368,31512
97.8698,98.6301,96.963,98.538,22319
98.2784,98.6974,97.7444,99.1517,85939
98.2945,99.5645,97.2262,97.7841,61589
97.543,99.522,96.263,97.6569,90733
97.3055,98.8421,97.1936,97.9491,42347
97.7514,97.8838,95.9251,97.8858,95098
97.5152,98.8261,96.7239,98.3443,61142
97.63,97.9093,96.14,97.708,98912
97.8772,99.6728,97.0784,97.3158,19131
97.3349,97.5167,97.2407,96.5542,83240
95.8742,97.2352,94.6814,95.6437,79104
96.6359,97.6941,94.6937,97.3575,2504
97.7181,97.9472,95.9485,98.2199,85012
97.9003,98.4873,97.584,96.9068,95646
97.6585,98.1853,96.6573,97.0158,14947
97.7568,98.3537,96.4789,97.9747,21032
97.7225,98.0456,95.8155,98.5674,1074
98.7653,99.7425,98.5416,98.4913,41306
97.9702,98.4519,96.8355,97.1277,96932
97.0997,97.2381,95.5785,97.6314,17828
97.9509,99.8446,97.6206,98.0062,80507
97.8525,98.2761,96.7739,98.3124,27365
98.7383,99.5363,97.3949,98.4851,68839
98.3881,98.8839,98.26,97.4302,73603
96.8904,97.3308,96.7484,97.1526,31007
96.2874,96.3502,95.6265,96.3157,37500
96.6537,97.0822,96.3891,97.5247,75847
97.6771,98.1631,96.7312,97.4912,13363
96.6851,97.5472,95.8379,96.6191,96561
95.7274,97.0343,94.435,94.8486,96448
94.5272,96.2505,94.0299,93.9076,59800
93.188,93.555,92.2627,93.937,10880
93.8233,95.546,92.7226,92.9245,71855
93.5966,95.5346,91.7439,94.294,22798
94.1068,95.0695,92.3775,94.9117,22579
94.6696,96.6402,94.1392,95.2377,60638
94.8082,96.2014,93.3472,95.3749,87752
95.8117,96.1213,95.2183,96.7491,76914
97.2206,97.3425,96.5934,96.3209,63493
96.3266,98.032,96.0117,97.2482,11500
97.9509,98.0879,97.815,98.6745,53923
97.9143,99.6949,97.4219,98.1033,82183
97.2673,98.582,96.1368,96.9,35179
96.3085,97.7409,95.8311,96.1001,89039
96.3911,97.3055,94.5331,97.2626,2220
97.1792,99.1761,95.187,96.3257,28938
96.3375,96.6024,95.6395,95.4751,33018
95.2142,95.5297,93.5467,95.6213,81173
96.589,98.2032,95.5311,96.9247,73692
96.5235,97.8503,94.6456,95.7921,16129
96.5715,98.0563,96.2606,96.135,28607
96.5702,96.9774,95.3017,96.0982,65032
95.6004,97.4167,95.4988,95.869,37265
94.9572,95.6243,94.6956,95.9168,22178
96.3993,97.5027,95.5439,95.4186,10862
96.3087,97.6907,96.0106,95.3808,49393
95.5458,95.842,95.2909,95.1623,6229
95.9601,96.3803,95.461,95.1657,74385
95.934,96.7468,94.6927,95.2431,32029
95.9723,97.9247,94.3508,96.7351,4248
96.0938,97.9428,94.529,95.9172,88806
96.6453,98.2668,96.1117,97.22,15168
96.9851,97.0625,96.0437,96.3842,61332
